Round,Language,Fibonacci Number,Implementation,Time Elsaped,Operation Count
22fdeb5c53914c1e94a1c60cf092b146,C,23,Dynamic,0.0000071550,160
22fdeb5c53914c1e94a1c60cf092b146,C,23,Recursive,0.0002633720,278204
22fdeb5c53914c1e94a1c60cf092b146,C,24,Iterative,0.0000001590,72
22fdeb5c53914c1e94a1c60cf092b146,C,24,Dynamic,0.0000070600,167
22fdeb5c53914c1e94a1c60cf092b146,C,24,Recursive,0.0003757050,450146
22fdeb5c53914c1e94a1c60cf092b146,C,25,Iterative,0.0000001450,75
22fdeb5c53914c1e94a1c60cf092b146,C,25,Dynamic,0.0000067750,174
22fdeb5c53914c1e94a1c60cf092b146,C,25,Recursive,0.0006082850,728354
22fdeb5c53914c1e94a1c60cf092b146,C,26,Iterative,0.0000001500,78
22fdeb5c53914c1e94a1c60cf092b146,C,26,Dynamic,0.0000066280,181
22fdeb5c53914c1e94a1c60cf092b146,C,26,Recursive,0.0010314300,1178504
22fdeb5c53914c1e94a1c60cf092b146,C,27,Iterative,0.0000001490,81
22fdeb5c53914c1e94a1c60cf092b146,C,27,Dynamic,0.0000076260,188
22fdeb5c53914c1e94a1c60cf092b146,C,27,Recursive,0.0016401790,1906862
22fdeb5c53914c1e94a1c60cf092b146,C,28,Iterative,0.0000001570,84
22fdeb5c53914c1e94a1c60cf092b146,C,28,Dynamic,0.0000063500,195
22fdeb5c53914c1e94a1c60cf092b146,C,28,Recursive,0.0026764460,3085370
22fdeb5c53914c1e94a1c60cf092b146,C,29,Iterative,0.0000001610,87
22fdeb5c53914c1e94a1c60cf092b146,C,29,Dynamic,0.0000072860,202
22fdeb5c53914c1e94a1c60cf092b146,C,29,Recursive,0.0044611970,4992236
22fdeb5c53914c1e94a1c60cf092b146,C,30,Iterative,0.0000001620,90
22fdeb5c53914c1e94a1c60cf092b146,C,30,Dynamic,0.0000066610,209
22fdeb5c53914c1e94a1c60cf092b146,C,30,Recursive,0.0069250490,8077610
22fdeb5c53914c1e94a1c60cf092b146,C,31,Iterative,0.0000001660,93
22fdeb5c53914c1e94a1c60cf092b146,C,31,Dynamic,0.0000071480,216
22fdeb5c53914c1e94a1c60cf092b146,C,31,Recursive,0.0111073810,13069850
22fdeb5c53914c1e94a1c60cf092b146,C,32,Iterative,0.0000001650,96
22fdeb5c53914c1e94a1c60cf092b146,C,32,Dynamic,0.0000065750,223
22fdeb5c53914c1e94a1c60cf092b146,C,32,Recursive,0.0179226230,21147464
22fdeb5c53914c1e94a1c60cf092b146,C,33,Iterative,0.0000001600,99
22fdeb5c53914c1e94a1c60cf092b146,C,33,Dynamic,0.0000080560,230
22fdeb5c53914c1e94a1c60cf092b146,C,33,Recursive,0.0290823030,34217318
22fdeb5c53914c1e94a1c60cf092b146,C,34,Iterative,0.0000001700,102
22fdeb5c53914c1e94a1c60cf092b146,C,34,Dynamic,0.0000074790,237
22fdeb5c53914c1e94a1c60cf092b146,C,34,Recursive,0.0478508310,55364786
22fdeb5c53914c1e94a1c60cf092b146,C,35,Iterative,0.0000001660,105
22fdeb5c53914c1e94a1c60cf092b146,C,35,Dynamic,0.0000080180,244
22fdeb5c53914c1e94a1c60cf092b146,C,35,Recursive,0.0754626220,89582108
22fdeb5c53914c1e94a1c60cf092b146,C,36,Iterative,0.0000001770,108
22fdeb5c53914c1e94a1c60cf092b146,C,36,Dynamic,0.0000069820,251
22fdeb5c53914c1e94a1c60cf092b146,C,36,Recursive,0.1259433510,144946898
22fdeb5c53914c1e94a1c60cf092b146,C,37,Iterative,0.0000001620,111
22fdeb5c53914c1e94a1c60cf092b146,C,37,Dynamic,0.0000073240,258
22fdeb5c53914c1e94a1c60cf092b146,C,37,Recursive,0.1981130400,234529010
22fdeb5c53914c1e94a1c60cf092b146,C,38,Iterative,0.0000001800,114
22fdeb5c53914c1e94a1c60cf092b146,C,38,Dynamic,0.0000069280,265
22fdeb5c53914c1e94a1c60cf092b146,C,38,Recursive,0.3216403340,379475912
22fdeb5c53914c1e94a1c60cf092b146,C,39,Iterative,0.0000001770,117
22fdeb5c53914c1e94a1c60cf092b146,C,39,Dynamic,0.0000069240,272
22fdeb5c53914c1e94a1c60cf092b146,C,39,Recursive,0.5242575170,614004926
22fdeb5c53914c1e94a1c60cf092b146,C,40,Iterative,0.0000001810,120
22fdeb5c53914c1e94a1c60cf092b146,C,40,Dynamic,0.0000073180,279
22fdeb5c53914c1e94a1c60cf092b146,C,41,Iterative,0.0000001710,123
22fdeb5c53914c1e94a1c60cf092b146,C,41,Dynamic,0.0000070720,286
22fdeb5c53914c1e94a1c60cf092b146,C,42,Iterative,0.0000001880,126
22fdeb5c53914c1e94a1c60cf092b146,C,42,Dynamic,0.0000076760,293
22fdeb5c53914c1e94a1c60cf092b146,C,43,Iterative,0.0000001870,129
22fdeb5c53914c1e94a1c60cf092b146,C,43,Dynamic,0.0000073880,300
22fdeb5c53914c1e94a1c60cf092b146,C,44,Iterative,0.0000001920,132
22fdeb5c53914c1e94a1c60cf092b146,C,44,Dynamic,0.0000064130,307
22fdeb5c53914c1e94a1c60cf092b146,C,45,Iterative,0.0000001960,135
22fdeb5c53914c1e94a1c60cf092b146,C,45,Dynamic,0.0000068370,314
22fdeb5c53914c1e94a1c60cf092b146,C,46,Iterative,0.0000001870,138
22fdeb5c53914c1e94a1c60cf092b146,C,46,Dynamic,0.0000092320,321
22fdeb5c53914c1e94a1c60cf092b146,C,47,Iterative,0.0000001890,141
22fdeb5c53914c1e94a1c60cf092b146,C,47,Dynamic,0.0000074300,328
22fdeb5c53914c1e94a1c60cf092b146,C,48,Iterative,0.0000001970,144
22fdeb5c53914c1e94a1c60cf092b146,C,48,Dynamic,0.0000070230,335
22fdeb5c53914c1e94a1c60cf092b146,C,49,Iterative,0.0000002040,147
22fdeb5c53914c1e94a1c60cf092b146,C,49,Dynamic,0.0000062860,342
22fdeb5c53914c1e94a1c60cf092b146,C,50,Iterative,0.0000001840,150
22fdeb5c53914c1e94a1c60cf092b146,C,50,Dynamic,0.0000069970,349
22fdeb5c53914c1e94a1c60cf092b146,C,51,Iterative,0.0000002070,153
22fdeb5c53914c1e94a1c60cf092b146,C,51,Dynamic,0.0000064300,356
22fdeb5c53914c1e94a1c60cf092b146,C,52,Iterative,0.0000002090,156
22fdeb5c53914c1e94a1c60cf092b146,C,52,Dynamic,0.0000072800,363
22fdeb5c53914c1e94a1c60cf092b146,C,53,Iterative,0.0000002160,159
22fdeb5c53914c1e94a1c60cf092b146,C,53,Dynamic,0.0000065630,370
22fdeb5c53914c1e94a1c60cf092b146,C,54,Iterative,0.0000002150,162
22fdeb5c53914c1e94a1c60cf092b146,C,54,Dynamic,0.0000066540,377
22fdeb5c53914c1e94a1c60cf092b146,C,55,Iterative,0.0000001990,165
22fdeb5c53914c1e94a1c60cf092b146,C,55,Dynamic,0.0000071150,384
22fdeb5c53914c1e94a1c60cf092b146,C,56,Iterative,0.0000002190,168
22fdeb5c53914c1e94a1c60cf092b146,C,56,Dynamic,0.0000069820,391
22fdeb5c53914c1e94a1c60cf092b146,C,57,Iterative,0.0000002260,171
22fdeb5c53914c1e94a1c60cf092b146,C,57,Dynamic,0.0000069640,398
22fdeb5c53914c1e94a1c60cf092b146,C,58,Iterative,0.0000002090,174
22fdeb5c53914c1e94a1c60cf092b146,C,58,Dynamic,0.0000068990,405
22fdeb5c53914c1e94a1c60cf092b146,C,59,Iterative,0.0000002090,177
22fdeb5c53914c1e94a1c60cf092b146,C,59,Dynamic,0.0000069580,412
22fdeb5c53914c1e94a1c60cf092b146,C,60,Iterative,0.0000002220,180
22fdeb5c53914c1e94a1c60cf092b146,C,60,Dynamic,0.0000067370,419
22fdeb5c53914c1e94a1c60cf092b146,C,61,Iterative,0.0000002100,183
22fdeb5c53914c1e94a1c60cf092b146,C,61,Dynamic,0.0000065990,426
22fdeb5c53914c1e94a1c60cf092b146,C,62,Iterative,0.0000002210,186
22fdeb5c53914c1e94a1c60cf092b146,C,62,Dynamic,0.0000066350,433
22fdeb5c53914c1e94a1c60cf092b146,C,63,Iterative,0.0000002140,189
22fdeb5c53914c1e94a1c60cf092b146,C,63,Dynamic,0.0000071770,440
22fdeb5c53914c1e94a1c60cf092b146,C,64,Iterative,0.0000002360,192
22fdeb5c53914c1e94a1c60cf092b146,C,64,Dynamic,0.0000062740,447
22fdeb5c53914c1e94a1c60cf092b146,C,65,Iterative,0.0000002120,195
22fdeb5c53914c1e94a1c60cf092b146,C,65,Dynamic,0.0000064820,454
22fdeb5c53914c1e94a1c60cf092b146,C,66,Iterative,0.0000002580,198
22fdeb5c53914c1e94a1c60cf092b146,C,66,Dynamic,0.0000071680,461
22fdeb5c53914c1e94a1c60cf092b146,C,67,Iterative,0.0000002030,201
22fdeb5c53914c1e94a1c60cf092b146,C,67,Dynamic,0.0000068620,468
22fdeb5c53914c1e94a1c60cf092b146,C,68,Iterative,0.0000002240,204
22fdeb5c53914c1e94a1c60cf092b146,C,68,Dynamic,0.0000076640,475
22fdeb5c53914c1e94a1c60cf092b146,C,69,Iterative,0.0000002260,207
22fdeb5c53914c1e94a1c60cf092b146,C,69,Dynamic,0.0000087320,482
22fdeb5c53914c1e94a1c60cf092b146,C,70,Iterative,0.0000002300,210
22fdeb5c53914c1e94a1c60cf092b146,C,70,Dynamic,0.0000060130,489
22fdeb5c53914c1e94a1c60cf092b146,C,71,Iterative,0.0000002330,213
22fdeb5c53914c1e94a1c60cf092b146,C,71,Dynamic,0.0000070720,496
22fdeb5c53914c1e94a1c60cf092b146,C,72,Iterative,0.0000002410,216
22fdeb5c53914c1e94a1c60cf092b146,C,72,Dynamic,0.0000076980,503
22fdeb5c53914c1e94a1c60cf092b146,C,73,Iterative,0.0000002160,219
22fdeb5c53914c1e94a1c60cf092b146,C,73,Dynamic,0.0000066720,510
22fdeb5c53914c1e94a1c60cf092b146,C,74,Iterative,0.0000002280,222
22fdeb5c53914c1e94a1c60cf092b146,C,74,Dynamic,0.0000060820,517
22fdeb5c53914c1e94a1c60cf092b146,C,75,Iterative,0.0000002450,225
22fdeb5c53914c1e94a1c60cf092b146,C,75,Dynamic,0.0000084860,524
22fdeb5c53914c1e94a1c60cf092b146,C,76,Iterative,0.0000002440,228
22fdeb5c53914c1e94a1c60cf092b146,C,76,Dynamic,0.0000063890,531
22fdeb5c53914c1e94a1c60cf092b146,C,77,Iterative,0.0000002560,231
22fdeb5c53914c1e94a1c60cf092b146,C,77,Dynamic,0.0000068350,538
22fdeb5c53914c1e94a1c60cf092b146,C,78,Iterative,0.0000002350,234
22fdeb5c53914c1e94a1c60cf092b146,C,78,Dynamic,0.0000074950,545
22fdeb5c53914c1e94a1c60cf092b146,C,79,Iterative,0.0000002430,237
22fdeb5c53914c1e94a1c60cf092b146,C,79,Dynamic,0.0000067880,552
22fdeb5c53914c1e94a1c60cf092b146,C,80,Iterative,0.0000002500,240
22fdeb5c53914c1e94a1c60cf092b146,C,80,Dynamic,0.0000074130,559
22fdeb5c53914c1e94a1c60cf092b146,C,81,Iterative,0.0000002600,243
22fdeb5c53914c1e94a1c60cf092b146,C,81,Dynamic,0.0000073940,566
22fdeb5c53914c1e94a1c60cf092b146,C,82,Iterative,0.0000002410,246
22fdeb5c53914c1e94a1c60cf092b146,C,82,Dynamic,0.0000061910,573
22fdeb5c53914c1e94a1c60cf092b146,C,83,Iterative,0.0000002490,249
22fdeb5c53914c1e94a1c60cf092b146,C,83,Dynamic,0.0000065780,580
22fdeb5c53914c1e94a1c60cf092b146,C,84,Iterative,0.0000002340,252
22fdeb5c53914c1e94a1c60cf092b146,C,84,Dynamic,0.0000074220,587
22fdeb5c53914c1e94a1c60cf092b146,C,85,Iterative,0.0000002430,255
22fdeb5c53914c1e94a1c60cf092b146,C,85,Dynamic,0.0000091470,594
22fdeb5c53914c1e94a1c60cf092b146,C,86,Iterative,0.0000002580,258
22fdeb5c53914c1e94a1c60cf092b146,C,86,Dynamic,0.0000077020,601
22fdeb5c53914c1e94a1c60cf092b146,C,87,Iterative,0.0000002610,261
22fdeb5c53914c1e94a1c60cf092b146,C,87,Dynamic,0.0000065380,608
22fdeb5c53914c1e94a1c60cf092b146,C,88,Iterative,0.0000002850,264
22fdeb5c53914c1e94a1c60cf092b146,C,88,Dynamic,0.0000075530,615
22fdeb5c53914c1e94a1c60cf092b146,C,89,Iterative,0.0000002460,267
22fdeb5c53914c1e94a1c60cf092b146,C,89,Dynamic,0.0000062470,622
22fdeb5c53914c1e94a1c60cf092b146,C,90,Iterative,0.0000002550,270
22fdeb5c53914c1e94a1c60cf092b146,C,90,Dynamic,0.0000069690,629
22fdeb5c53914c1e94a1c60cf092b146,C,91,Iterative,0.0000002600,273
22fdeb5c53914c1e94a1c60cf092b146,C,91,Dynamic,0.0000081540,636
22fdeb5c53914c1e94a1c60cf092b146,C,92,Iterative,0.0000002580,276
22fdeb5c53914c1e94a1c60cf092b146,C,92,Dynamic,0.0000067720,643
22fdeb5c53914c1e94a1c60cf092b146,C,93,Iterative,0.0000002810,279
22fdeb5c53914c1e94a1c60cf092b146,C,93,Dynamic,0.0000067770,650
22fdeb5c53914c1e94a1c60cf092b146,C,94,Iterative,0.0000002720,282
22fdeb5c53914c1e94a1c60cf092b146,C,94,Dynamic,0.0000069780,657
22fdeb5c53914c1e94a1c60cf092b146,C,95,Iterative,0.0000002580,285
22fdeb5c53914c1e94a1c60cf092b146,C,95,Dynamic,0.0000070270,664
22fdeb5c53914c1e94a1c60cf092b146,C,96,Iterative,0.0000002670,288
22fdeb5c53914c1e94a1c60cf092b146,C,96,Dynamic,0.0000063900,671
22fdeb5c53914c1e94a1c60cf092b146,C,97,Iterative,0.0000002680,291
22fdeb5c53914c1e94a1c60cf092b146,C,97,Dynamic,0.0000069400,678
22fdeb5c53914c1e94a1c60cf092b146,C,98,Iterative,0.0000002520,294
22fdeb5c53914c1e94a1c60cf092b146,C,98,Dynamic,0.0000180470,685
22fdeb5c53914c1e94a1c60cf092b146,C,99,Iterative,0.0000002750,297
22fdeb5c53914c1e94a1c60cf092b146,C,99,Dynamic,0.0000069340,692
22fdeb5c53914c1e94a1c60cf092b146,C,100,Iterative,0.0000002550,300
22fdeb5c53914c1e94a1c60cf092b146,C,100,Dynamic,0.0000066460,699
22fdeb5c53914c1e94a1c60cf092b146,C,101,Iterative,0.0000002650,303
22fdeb5c53914c1e94a1c60cf092b146,C,101,Dynamic,0.0000065980,706
22fdeb5c53914c1e94a1c60cf092b146,C,102,Iterative,0.0000002760,306
22fdeb5c53914c1e94a1c60cf092b146,C,102,Dynamic,0.0000071410,713
22fdeb5c53914c1e94a1c60cf092b146,C,103,Iterative,0.0000002670,309
22fdeb5c53914c1e94a1c60cf092b146,C,103,Dynamic,0.0000081750,720
22fdeb5c53914c1e94a1c60cf092b146,C,104,Iterative,0.0000002750,312
22fdeb5c53914c1e94a1c60cf092b146,C,104,Dynamic,0.0000068270,727
22fdeb5c53914c1e94a1c60cf092b146,C,105,Iterative,0.0000002530,315
22fdeb5c53914c1e94a1c60cf092b146,C,105,Dynamic,0.0000067550,734
22fdeb5c53914c1e94a1c60cf092b146,C,106,Iterative,0.0000002840,318
22fdeb5c53914c1e94a1c60cf092b146,C,106,Dynamic,0.0000065280,741
22fdeb5c53914c1e94a1c60cf092b146,C,107,Iterative,0.0000002600,321
22fdeb5c53914c1e94a1c60cf092b146,C,107,Dynamic,0.0000064370,748
22fdeb5c53914c1e94a1c60cf092b146,C,108,Iterative,0.0000002870,324
22fdeb5c53914c1e94a1c60cf092b146,C,108,Dynamic,0.0000070880,755
22fdeb5c53914c1e94a1c60cf092b146,C,109,Iterative,0.0000002780,327
22fdeb5c53914c1e94a1c60cf092b146,C,109,Dynamic,0.0000067370,762
22fdeb5c53914c1e94a1c60cf092b146,C,110,Iterative,0.0000002840,330
22fdeb5c53914c1e94a1c60cf092b146,C,110,Dynamic,0.0000068270,769
22fdeb5c53914c1e94a1c60cf092b146,C,111,Iterative,0.0000002990,333
22fdeb5c53914c1e94a1c60cf092b146,C,111,Dynamic,0.0000072330,776
22fdeb5c53914c1e94a1c60cf092b146,C,112,Iterative,0.0000002690,336
22fdeb5c53914c1e94a1c60cf092b146,C,112,Dynamic,0.0000069570,783
22fdeb5c53914c1e94a1c60cf092b146,C,113,Iterative,0.0000002880,339
22fdeb5c53914c1e94a1c60cf092b146,C,113,Dynamic,0.0000065830,790
22fdeb5c53914c1e94a1c60cf092b146,C,114,Iterative,0.0000002880,342
22fdeb5c53914c1e94a1c60cf092b146,C,114,Dynamic,0.0000080170,797
22fdeb5c53914c1e94a1c60cf092b146,C,115,Iterative,0.0000002890,345
22fdeb5c53914c1e94a1c60cf092b146,C,115,Dynamic,0.0000070740,804
22fdeb5c53914c1e94a1c60cf092b146,C,116,Iterative,0.0000002690,348
22fdeb5c53914c1e94a1c60cf092b146,C,116,Dynamic,0.0000080380,811
22fdeb5c53914c1e94a1c60cf092b146,C,117,Iterative,0.0000003030,351
22fdeb5c53914c1e94a1c60cf092b146,C,117,Dynamic,0.0000068010,818
22fdeb5c53914c1e94a1c60cf092b146,C,118,Iterative,0.0000002740,354
22fdeb5c53914c1e94a1c60cf092b146,C,118,Dynamic,0.0000069040,825
22fdeb5c53914c1e94a1c60cf092b146,C,119,Iterative,0.0000002960,357
22fdeb5c53914c1e94a1c60cf092b146,C,119,Dynamic,0.0000086310,832
22fdeb5c53914c1e94a1c60cf092b146,C,120,Iterative,0.0000002920,360
22fdeb5c53914c1e94a1c60cf092b146,C,120,Dynamic,0.0000065220,839
22fdeb5c53914c1e94a1c60cf092b146,C,121,Iterative,0.0000003120,363
22fdeb5c53914c1e94a1c60cf092b146,C,121,Dynamic,0.0000086050,846
22fdeb5c53914c1e94a1c60cf092b146,C,122,Iterative,0.0000003110,366
22fdeb5c53914c1e94a1c60cf092b146,C,122,Dynamic,0.0000070600,853
22fdeb5c53914c1e94a1c60cf092b146,C,123,Iterative,0.0000003100,369
22fdeb5c53914c1e94a1c60cf092b146,C,123,Dynamic,0.0000068800,860
22fdeb5c53914c1e94a1c60cf092b146,C,124,Iterative,0.0000003030,372
22fdeb5c53914c1e94a1c60cf092b146,C,124,Dynamic,0.0000087500,867
22fdeb5c53914c1e94a1c60cf092b146,C,125,Iterative,0.0000002980,375
22fdeb5c53914c1e94a1c60cf092b146,C,125,Dynamic,0.0000064150,874
22fdeb5c53914c1e94a1c60cf092b146,C,126,Iterative,0.0000003150,378
22fdeb5c53914c1e94a1c60cf092b146,C,126,Dynamic,0.0000079520,881
22fdeb5c53914c1e94a1c60cf092b146,C,127,Iterative,0.0000003120,381
22fdeb5c53914c1e94a1c60cf092b146,C,127,Dynamic,0.0000064230,888
22fdeb5c53914c1e94a1c60cf092b146,C,128,Iterative,0.0000002960,384
22fdeb5c53914c1e94a1c60cf092b146,C,128,Dynamic,0.0000090000,895
22fdeb5c53914c1e94a1c60cf092b146,C,129,Iterative,0.0000002750,387
22fdeb5c53914c1e94a1c60cf092b146,C,129,Dynamic,0.0000071590,902
22fdeb5c53914c1e94a1c60cf092b146,C,130,Iterative,0.0000003300,390
22fdeb5c53914c1e94a1c60cf092b146,C,130,Dynamic,0.0000067410,909
22fdeb5c53914c1e94a1c60cf092b146,C,131,Iterative,0.0000002970,393
22fdeb5c53914c1e94a1c60cf092b146,C,131,Dynamic,0.0000073500,916
22fdeb5c53914c1e94a1c60cf092b146,C,132,Iterative,0.0000003140,396
22fdeb5c53914c1e94a1c60cf092b146,C,132,Dynamic,0.0000066430,923
22fdeb5c53914c1e94a1c60cf092b146,C,133,Iterative,0.0000003050,399
22fdeb5c53914c1e94a1c60cf092b146,C,133,Dynamic,0.0000072830,930
22fdeb5c53914c1e94a1c60cf092b146,C,134,Iterative,0.0000003070,402
22fdeb5c53914c1e94a1c60cf092b146,C,134,Dynamic,0.0000074500,937
22fdeb5c53914c1e94a1c60cf092b146,C,135,Iterative,0.0000003040,405
22fdeb5c53914c1e94a1c60cf092b146,C,135,Dynamic,0.0000080770,944
22fdeb5c53914c1e94a1c60cf092b146,C,136,Iterative,0.0000002910,408
22fdeb5c53914c1e94a1c60cf092b146,C,136,Dynamic,0.0000066100,951
22fdeb5c53914c1e94a1c60cf092b146,C,137,Iterative,0.0000003000,411
22fdeb5c53914c1e94a1c60cf092b146,C,137,Dynamic,0.0000077140,958
22fdeb5c53914c1e94a1c60cf092b146,C,138,Iterative,0.0000003190,414
22fdeb5c53914c1e94a1c60cf092b146,C,138,Dynamic,0.0000083060,965
22fdeb5c53914c1e94a1c60cf092b146,C,139,Iterative,0.0000003020,417
22fdeb5c53914c1e94a1c60cf092b146,C,139,Dynamic,0.0000075030,972
22fdeb5c53914c1e94a1c60cf092b146,C,140,Iterative,0.0000003020,420
22fdeb5c53914c1e94a1c60cf092b146,C,140,Dynamic,0.0000080700,979
22fdeb5c53914c1e94a1c60cf092b146,C,141,Iterative,0.0000003410,423
22fdeb5c53914c1e94a1c60cf092b146,C,141,Dynamic,0.0000084620,986
22fdeb5c53914c1e94a1c60cf092b146,C,142,Iterative,0.0000003080,426
22fdeb5c53914c1e94a1c60cf092b146,C,142,Dynamic,0.0000070820,993
22fdeb5c53914c1e94a1c60cf092b146,C,143,Iterative,0.0000003320,429
22fdeb5c53914c1e94a1c60cf092b146,C,143,Dynamic,0.0000081060,1000
22fdeb5c53914c1e94a1c60cf092b146,C,144,Iterative,0.0000002950,432
22fdeb5c53914c1e94a1c60cf092b146,C,144,Dynamic,0.0000112500,1007
22fdeb5c53914c1e94a1c60cf092b146,C,145,Iterative,0.0000003330,435
22fdeb5c53914c1e94a1c60cf092b146,C,145,Dynamic,0.0000080520,1014
22fdeb5c53914c1e94a1c60cf092b146,C,146,Iterative,0.0000003420,438
22fdeb5c53914c1e94a1c60cf092b146,C,146,Dynamic,0.0000075610,1021
22fdeb5c53914c1e94a1c60cf092b146,C,147,Iterative,0.0000004030,441
22fdeb5c53914c1e94a1c60cf092b146,C,147,Dynamic,0.0000089490,1028
22fdeb5c53914c1e94a1c60cf092b146,C,148,Iterative,0.0000003290,444
22fdeb5c53914c1e94a1c60cf092b146,C,148,Dynamic,0.0000076950,1035
